event_type,username,source_ip,status,failed_attempts,privilege_change,label
LOGIN,unknown,203.0.113.13,FAILED,10,0,MALICIOUS
LOGIN,unknown,203.0.113.14,FAILED,12,0,MALICIOUS
PRIVILEGE_CHANGE,unknown,203.0.113.15,ADMIN_GRANTED,6,1,MALICIOUS
PRIVILEGE_CHANGE,unknown,203.0.113.16,ADMIN_GRANTED,7,1,MALICIOUS
PRIVILEGE_CHANGE,unknown,203.0.113.17,ADMIN_GRANTED,8,1,MALICIOUS
PRIVILEGE_CHANGE,unknown,203.0.113.18,ADMIN_GRANTED,9,1,MALICIOUS
PRIVILEGE_CHANGE,unknown,203.0.113.19,ADMIN_GRANTED,10,1,MALICIOUS
FILE_ACCESS,unknown,203.0.113.20,SUCCESS,0,0,MALICIOUS
FILE_ACCESS,unknown,203.0.113.21,SUCCESS,0,0,MALICIOUS
FILE_ACCESS,unknown,203.0.113.22,SUCCESS,0,0,MALICIOUS
FILE_ACCESS,unknown,203.0.113.23,SUCCESS,0,0,MALICIOUS
FILE_ACCESS,unknown,203.0.113.24,SUCCESS,0,0,MALICIOUS
